berg_id,date,lat,lon,size_1,size_2,gap_days,u_berg,v_berg,u_wind,v_wind,u_curr,v_curr,prev_u,prev_v,prev_speed
a43f,2008-01-06,-62.03,-53.02,29.0,9.0,7,0.0984119001710083,0.0639872685185187,10.22467041015625,-3.91815185546875,0.0909451581537723,0.0274666585028171,0.0461533577410072,0.14077199074074,0.14814481363814389
b16,2008-01-06,-66.92,150.0,16.0,7.0,7,-0.002164643984466,0.0,-11.84466552734375,5.89825439453125,-0.0750755332410335,-0.0494399853050708,0.0084318494583587,-0.0170632716049409,0.01903290107031522
b15d,2008-01-06,-60.63,-55.42,29.0,8.0,7,0.0631905299892631,0.032907738095238,7.58306884765625,-4.79315185546875,0.3076265752315521,-0.0415051728487014,0.0288755826878197,-0.1599681712962962,0.16255342230615225
b09b,2008-01-06,-67.27,148.62,51.0,19.0,7,0.0,0.0,-13.58294677734375,8.40899658203125,-0.111697744578123,-0.0524918362498283,0.0066516065877225,-0.0213290895061716,0.022342200638256583
c21a,2008-01-06,-60.45,-52.75,12.0,9.0,7,-0.0590041804898336,-0.0237666997354489,8.79888916015625,-3.20330810546875,0.0598162785172462,0.0848414562642574,0.1051869946745394,0.1215758101851837,0.16076374426731108
b17a,2008-01-06,-65.45,140.88,19.0,8.0,7,-0.0229424763863714,0.0036564153439146,-0.16204833984375,8.30450439453125,-0.0170903652906417,0.0073244422674179,-0.0494796678718372,0.0063987268518505,0.0498916950807638
b21a,2008-01-06,-74.5,-105.7,13.0,8.0,7,0.0,0.0,-11.39739990234375,8.78887939453125,-0.0823999755084514,0.0286873988807201,-0.0022997792506086,-0.0127974537037041,0.013002453841486216
c16,2008-01-06,-64.55,131.85,26.0,10.0,7,-0.0739540404897797,-0.0292513227513221,-7.95697021484375,2.40899658203125,0.0146488845348358,0.0231940671801567,-0.0458784159921014,-0.038392361111108,0.059823092912603765
b15s,2008-01-06,-67.37,151.0,10.0,2.0,7,-0.0070822686210798,0.0036564153439172,-11.91693115234375,5.27520751953125,-0.112918484956026,-0.079348124563694,-0.2495301230117742,0.3881894290123442,0.4614719006474836
c19d,2008-01-06,-69.18,14.82,17.0,8.0,7,-0.0958422720143059,0.0274231150793661,-4.98529052734375,2.98028564453125,-0.0115970335900783,-0.112918484956026,-0.2148410210118762,0.0170632716049348,0.21551756203912756
b15j,2008-01-06,-75.52,166.72,25.0,14.0,7,0.0050625244823373,0.0548462301587296,-1.25189208984375,1.99493408203125,-0.0805688649415969,-0.033570360392332,-0.0481607817077186,0.0213290895061716,0.05267248763691346
